ID,mastercode,Code,Plot,Subplot,Stratum,Forest,Trunk perimenter (cm),tree ID,Notes-Trunk,Lianas,deadwood .,deadwood%,Bait/Bamboo Height(m)
26,NP1-S1-D2-CA,NP1-S1-D2,NP1-S1,D2,CA,Numba Primary,462,T11,same as C2 CA,5,1,10,27
27,NP1-S1-D3-CA,NP1-S1-D3,NP1-S1,D3,CA,Numba Primary,175,T27,same as S4 A3 CA,0,0,5,22
28,NP1-S1-D4-CA,NP1-S1-D4,NP1-S1,D4,CA,Numba Primary,86,T28,,6,0,5,22
29,NP1-S1-D1-UN,NP1-S1-D1,NP1-S1,D1,UN,Numba Primary,29,T29,,2,1,5,1.5
30,NP1-S1-D2-UN,NP1-S1-D2,NP1-S1,D2,UN,Numba Primary,16,T30,,0,0,5,1.5
31,NP1-S1-D3-UN,NP1-S1-D3,NP1-S1,D3,UN,Numba Primary,27,T31,,0,0,5,1.5
32,NP1-S1-D4-UN,NP1-S1-D4,NP1-S1,D4,UN,Numba Primary,29,T32,,1,0,5,1.5
33,NP1-S2-A1-CA,NP1-S2-A1,NP1-S2,A1,CA,Numba Primary,45,T33,same as S1 B4 CA,2,0,5,10
34,NP1-S2-A2-CA,NP1-S2-A2,NP1-S2,A2,CA,Numba Primary,,T34,outside plot,10,7,20,22
35,NP1-S2-A3-CA,NP1-S2-A3,NP1-S2,A3,CA,Numba Primary,,T34,outside plot,10,7,20,21
36,NP1-S2-A4-CA,NP1-S2-A4,NP1-S2,A4,CA,Numba Primary,,T34,outside plot,6,6,20,20
37,NP1-S2-A1-UN,NP1-S2-A1,NP1-S2,A1,UN,Numba Primary,19,T37,,0,4,25,1.5
38,NP1-S2-A2-UN,NP1-S2-A2,NP1-S2,A2,UN,Numba Primary,10,T38,,0,3,20,1.5
39,NP1-S2-A3-UN,NP1-S2-A3,NP1-S2,A3,UN,Numba Primary,18,T39,,0,2,5,1.5
40,NP1-S2-A4-UN,NP1-S2-A4,NP1-S2,A4,UN,Numba Primary,13,T40,,NA,,,1.5
41,NP1-S2-B1-CA,NP1-S2-B1,NP1-S2,B1,CA,Numba Primary,206,T41,same as C1 CA,5,2,5,29
42,NP1-S2-B2-CA,NP1-S2-B2,NP1-S2,B2,CA,Numba Primary,,T34,outside plot,10,7,20,23
43,NP1-S2-B3-CA,NP1-S2-B3,NP1-S2,B3,CA,Numba Primary,233,T43,same as B4 CA,7,3,5,23
44,NP1-S2-B4-CA,NP1-S2-B4,NP1-S2,B4,CA,Numba Primary,233,T43,same as B3 CA,7,3,5,16
45,NP1-S2-B1-UN,NP1-S2-B1,NP1-S2,B1,UN,Numba Primary,32,T45,,1,0,5,1.5
46,NP1-S2-B2-UN,NP1-S2-B2,NP1-S2,B2,UN,Numba Primary,33,T46,,1,1,15,1.5
47,NP1-S2-B3-UN,NP1-S2-B3,NP1-S2,B3,UN,Numba Primary,43,T47,,0,1,5,1.5
48,NP1-S2-B4-UN,NP1-S2-B4,NP1-S2,B4,UN,Numba Primary,16,T48,,1,0,5,1.5
49,NP1-S2-C1-CA,NP1-S2-C1,NP1-S2,C1,CA,Numba Primary,206,T41,same as  B1 CA,5,2,5,22
50,NP1-S2-C2-CA,NP1-S2-C2,NP1-S2,C2,CA,Numba Primary,83,T55,same as C3 UN,0,0,5,17
